Website,SightMap Integrated?,SightMap Embed,API Usage,Closest URL to SightMap,Time,Date,Cookies Rejected
http://liveatblake.com,No,,No,,12:12:46,2024-01-09,
http://liveatblake.com,No,,No,,12:13:17,2024-01-09,
https://www.residencesatthevillage.com/,No,,No,,12:13:37,2024-01-09,
https://www.residencesatthevillage.com/,No,,No,,12:13:53,2024-01-09,
http://altanaglendale.com,No,,No,,12:14:25,2024-01-09,
http://altanaglendale.com,No,,No,,12:15:03,2024-01-09,
http://www.liveascentslu.com/,No,,No,,12:15:05,2024-01-09,
http://www.liveascentslu.com/,No,,No,,12:15:05,2024-01-09,
https://societywestshore.com/,Error - Check Manually,,,,12:17:36.761586,2024-01-09,
http://motionatdadeland.com/,Yes,https://sightmap.com/embed/api,No,https://motionatdadeland.com/apartments/,12:17:44,2024-01-09,
http://motionatdadeland.com/,Yes,https://sightmap.com/embed/api,No,https://motionatdadeland.com/apartments/,12:17:45,2024-01-09,
http://19dutch.com,No,,No,,12:18:28,2024-01-09,
http://19dutch.com,No,,No,,12:19:03,2024-01-09,
http://thepearlonwilshire.com,Yes,https://sightmap.com/embed/l8epmgmep6d,No,https://thepearlonwilshire.com/floor-plans/,12:19:19,2024-01-09,
http://thepearlonwilshire.com,Yes,https://sightmap.com/embed/l8epmgmep6d,No,https://thepearlonwilshire.com/floor-plans/,12:19:23,2024-01-09,
http://hardwareapartments.com,Yes,https://sightmap.com/embed/4d7p10m2vkx,No,http://hardwareapartments.com,12:19:26,2024-01-09,
https://www.exoreston.com,No,,No,,12:19:47,2024-01-09,
https://www.exoreston.com,No,,No,,12:20:00,2024-01-09,
http://thehenrydenver.com,Yes,https://sightmap.com/embed/er5v5nqmvny,No,http://thehenrydenver.com/Floor-plans.aspx,12:20:07,2024-01-09,
http://thehenrydenver.com,Yes,https://sightmap.com/embed/er5v5nqmvny,No,http://thehenrydenver.com/Floor-plans.aspx,12:20:10,2024-01-09,
http://www.carmelapartments.com/alder-northridge-ca/,No,,No,,12:20:13,2024-01-09,
http://www.carmelapartments.com/alder-northridge-ca/,No,,No,,12:20:13,2024-01-09,
http://livetheivyriveroaks.com,Yes,https://sightmap.com/embed/yzvgd64yvln,No,http://livetheivyriveroaks.com,12:20:19,2024-01-09,
http://livetheivyriveroaks.com,Yes,https://sightmap.com/embed/yzvgd64yvln,No,http://livetheivyriveroaks.com,12:20:21,2024-01-09,
http://fourthstreeteast.com,Yes,https://sightmap.com/embed/rx1p889dpd6,No,http://fourthstreeteast.com,12:20:26,2024-01-09,
